Runtime (minutes),CPU Usage (%),Memory Usage (%),GPU Usage (%)
0.03383951187133789,2.0,57.9,0.0
0.09200068314870198,0.3,57.3,0.0
0.14983098109563192,0.1,57.3,0.0
0.20782843430836995,2.5,57.1,0.0
0.2659968574841817,0.1,57.0,0.0
0.32399888038635255,0.3,56.4,0.0
0.38183180093765257,0.1,56.4,0.0
0.439830482006073,0.1,56.4,0.0
0.4978484630584717,0.3,56.3,0.0
